shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
245202,30,43.358420,-8.405350,2023.6923028443707
245202,31,43.359670,-8.405070,2164.5174435998056
245202,32,43.360280,-8.404970,2232.926927028315
245202,33,43.361430,-8.404850,2361.168735981072
245202,34,43.361780,-8.404890,2400.2211269253194
245202,35,43.362630,-8.405170,2497.4096877971556
245202,36,43.362770,-8.405190,2513.06073575011
245202,37,43.363090,-8.405200,2548.652343506945
245202,38,43.363180,-8.405230,2558.94957099783
245202,39,43.364420,-8.405050,2697.5971620108717
245202,40,43.364780,-8.405000,2738.9374111348598
245202,41,43.365790,-8.404770,2852.773071315888
245202,42,43.365990,-8.404760,2875.026774305569
245202,43,43.366100,-8.404820,2888.1847793925544
245202,44,43.366310,-8.404990,2915.279358518035
245202,45,43.367200,-8.405810,3034.390868200388
245202,46,43.367320,-8.405950,3051.887135033775
245202,47,43.367390,-8.406090,3065.622405915243
245202,48,43.367510,-8.406230,3083.1186498200354
245202,49,43.367810,-8.406500,3122.9826329097655
245202,50,43.367900,-8.406560,3134.103528130921
245202,51,43.367770,-8.407010,3173.246001203295
245202,52,43.367690,-8.407330,3200.5999102113556
245202,53,43.367740,-8.408080,3261.480232240434
245202,54,43.367720,-8.408190,3270.645920823111
245202,55,43.367660,-8.408250,3278.8942468403056
245202,56,43.367610,-8.408380,3290.7828798149394
245202,57,43.367560,-8.408480,3300.593762333467
245202,58,43.367420,-8.408640,3320.8327997075003
400000,0,43.332760,-8.412450,0
400000,1,43.332770,-8.412380,5.76983905380959
400000,2,43.332800,-8.412330,11.012194670350077
400000,3,43.332850,-8.412310,16.80249364415949
400000,4,43.332910,-8.412330,23.667501868196837
400000,5,43.333730,-8.410810,176.7282242421966
400000,6,43.333730,-8.410820,177.53702266367256
400000,7,43.334160,-8.410020,257.99029594464866
400000,8,43.334280,-8.409720,285.6810250402428
400000,9,43.334310,-8.409590,296.7118015340073
400000,10,43.334350,-8.408740,365.60271979414057
400000,11,43.334390,-8.408270,403.87517256096476
400000,12,43.334460,-8.407800,442.6769813427977
400000,13,43.334530,-8.407150,495.82131368282194
400000,14,43.334620,-8.406750,529.6853047867118
400000,15,43.334790,-8.406310,569.9808726671257
400000,16,43.334792,-8.406305,570.4613684735613
400000,17,43.334850,-8.406160,583.8261321846782
400000,18,43.334880,-8.406030,594.8568146102787
400000,19,43.334930,-8.405970,602.236484610044
400000,20,43.335000,-8.405950,610.1864410802042
400000,21,43.335070,-8.405980,618.3395040449781
400000,22,43.335120,-8.406050,626.2744276859711
400000,23,43.335140,-8.406180,637.0211861284749
400000,24,43.335190,-8.406310,648.9147901199433
400000,25,43.335940,-8.407240,761.2196798243251
400000,26,43.336300,-8.407680,814.7805181558175
400000,27,43.336370,-8.407730,823.551935595841
400000,28,43.336510,-8.407780,839.6358900721539
400000,29,43.336570,-8.407770,846.3564361423981
400000,30,43.336720,-8.407850,864.2466478691673
400000,31,43.336840,-8.407990,881.7465924298411
400000,32,43.336880,-8.408130,893.9114637692123
400000,33,43.336900,-8.408270,905.4503871586384
400000,34,43.336880,-8.408390,915.4070050030691
400000,35,43.336870,-8.408540,927.5892067502326
400000,36,43.337200,-8.409190,991.6983389906654
400000,37,43.337560,-8.409790,1054.603773855323
400000,38,43.337750,-8.410080,1086.1699904828622
400000,39,43.338140,-8.410610,1147.1444360316782
400000,40,43.338290,-8.410790,1169.2829242282594
400000,41,43.338450,-8.410920,1189.948415670449
400000,42,43.338550,-8.410930,1201.0972950220387
400000,43,43.338630,-8.410990,1211.230291629028
400000,44,43.338690,-8.411090,1221.7143992617277
400000,45,43.338700,-8.411160,1227.4836958245744
400000,46,43.338800,-8.411320,1244.5447457248958
400000,47,43.339030,-8.411560,1276.6508630586734
400000,48,43.339210,-8.411750,1301.8840317283812
400000,49,43.340170,-8.412870,1441.880779581259
400000,50,43.340260,-8.412920,1452.6743693899086
400000,51,43.340310,-8.412890,1458.7404214579785
400000,52,43.340440,-8.412910,1473.285987520772
400000,53,43.340550,-8.412990,1487.1230815173317
400000,54,43.340600,-8.413110,1498.3073532118578
400000,55,43.340590,-8.413210,1506.470510298993
400000,56,43.340680,-8.413420,1526.182636117364
400000,57,43.340750,-8.413510,1536.83907321309
400000,58,43.341220,-8.414060,1605.4658153191294
400000,59,43.341330,-8.414150,1619.6989444410483
400000,60,43.341570,-8.414290,1648.688047252704
400000,61,43.341800,-8.414350,1674.7191306477062
400000,62,43.341900,-8.414360,1685.8680067633811
400000,63,43.342130,-8.414340,1711.4939662964239
400000,64,43.342300,-8.414300,1730.671900206006
400000,65,43.342440,-8.414240,1746.9778516972688
400000,66,43.342580,-8.414140,1764.52030740961
400000,67,43.342610,-8.414100,1769.1669549894664
400000,68,43.342650,-8.414100,1773.6147581986393
400000,69,43.342690,-8.414150,1779.625749012816
400000,70,43.342690,-8.414190,1782.8604653375905
400000,71,43.342660,-8.414250,1788.7486356594939
400000,72,43.342830,-8.414830,1839.3179276687008
400000,73,43.342850,-8.414960,1850.0633800061662
400000,74,43.342890,-8.414990,1855.129796411611
400000,75,43.342910,-8.415040,1859.7444114176956
400000,76,43.342900,-8.415120,1866.308685707557
400000,77,43.342850,-8.415160,1872.740962956296
400000,78,43.342860,-8.415300,1884.1169139806034
400000,79,43.342950,-8.415550,1906.6751600739287
400000,80,43.343020,-8.415620,1916.299562097039
400000,81,43.343200,-8.415720,1937.8865972553397
400000,82,43.344070,-8.415740,2034.6398357208577
400000,83,43.344060,-8.415750,2036.014741834452
400000,84,43.344060,-8.415740,2036.8234026665189
400000,85,43.344280,-8.415700,2061.4992455002757
